"ids","pcomplex","SUBUNIT-COMPOSITION","ECK","associated_gene_names"
"3538","ASPKINIHOMOSERDEHYDROGI-CPLX","4*ASPKINIHOMOSERDEHYDROGI-MONOMER","ECK0002","thrA"
"1377","HOMOSERKIN-CPLX","2*HOMOSERKIN-MONOMER","ECK0003","thrB"
"549","TRANSALDOLB-CPLX","2*TRANSALDOLB-MONOMER","ECK0008","talB"
"1158","CPLX0-8163","3*EG11511-MONOMER","ECK0009","mog"
"1718","CPLX0-8191","2*EG10240-MONOMER","ECK0015","dnaJ"
"1634","CPLX0-7629","2*NHAA-MONOMER","ECK0020","nhaA"
"3457","CPLX0-7564","2*EG11081-MONOMER","ECK0030","ispH"
"3671","CARBPSYN-CPLX","2*CARBPSYN-LARGE,2*CARBPSYN-SMALL","ECK0033","carA"
"2207","CARBPSYN-CPLX","2*CARBPSYN-LARGE,2*CARBPSYN-SMALL","ECK0034","carB"
"1941","CPLX0-7666","2*G6088-MONOMER","ECK0035","caiF"
"3907","CARNDEHYDRA-CPLX","2*CARNDEHYDRA-MONOMER","ECK0039","caiB"
"2283","CPLX0-7906","3*CAIT-MONOMER","ECK0041","caiT"
"2496","CPLX0-7939","2*EG11568-MONOMER","ECK0047","kefF"
"1816","CPLX0-7819","2*KEFC-MONOMER","ECK0048","kefC"
"1375","CPLX0-7847","2*PDXA-MONOMER","ECK0053","pdxA"
"3507","CPLX0-7992","1*EG10855-MONOMER,1*EG11569-MONOMER,1*G7889-MONOMER,1*G7664-MONOMER,1*YHBN-MONOMER,2*YHBG-MONOMER,1*G7888-MONOMER","ECK0055","imp"
"3507","CPLX0-7628","1*EG11569-MONOMER,1*EG10855-MONOMER","ECK0055","imp"
"3473","CPLX0-7992","1*EG10855-MONOMER,1*EG11569-MONOMER,1*G7889-MONOMER,1*G7664-MONOMER,1*YHBN-MONOMER,2*YHBG-MONOMER,1*G7888-MONOMER","ECK0055","imp"
"3473","CPLX0-7628","1*EG11569-MONOMER,1*EG10855-MONOMER","ECK0055","imp"
"3475","CPLX0-7992","1*EG10855-MONOMER,1*EG11569-MONOMER,1*G7889-MONOMER,1*G7664-MONOMER,1*YHBN-MONOMER,2*YHBG-MONOMER,1*G7888-MONOMER","ECK0055","imp"
"3475","CPLX0-7628","1*EG11569-MONOMER,1*EG10855-MONOMER","ECK0055","imp"
"3508","CPLX0-7992","1*EG10855-MONOMER,1*EG11569-MONOMER,1*G7889-MONOMER,1*G7664-MONOMER,1*YHBN-MONOMER,2*YHBG-MONOMER,1*G7888-MONOMER","ECK0055","imp"
"3508","CPLX0-7628","1*EG11569-MONOMER,1*EG10855-MONOMER","ECK0055","imp"
"3638","PC00003","2*PD00242","ECK0065","araC"
"918","ABC-32-CPLX","2*SFUC-MONOMER,2*SFUB-MONOMER,1*SFUA-MONOMER","ECK0067","thiQ"
"1046","ABC-32-CPLX","2*SFUC-MONOMER,2*SFUB-MONOMER,1*SFUA-MONOMER","ECK0068","thiP"
"2034","ABC-32-CPLX","2*SFUC-MONOMER,2*SFUB-MONOMER,1*SFUA-MONOMER","ECK0069","tbpA"
"1561","3-ISOPROPYLMALISOM-CPLX","1*LEUC-MONOMER,1*LEUD-MONOMER","ECK0073","leuD"
"1649","3-ISOPROPYLMALISOM-CPLX","1*LEUC-MONOMER,1*LEUD-MONOMER","ECK0074","leuC"
"2127","ACETOLACTSYNIII-CPLX","2*ACETOLACTSYNIII-ICHAIN-MONOMER,2*ACETOLACTSYNIII-HCHAIN-MONOMER","ECK0079","ilvI"
"1196","ACETOLACTSYNIII-CPLX","2*ACETOLACTSYNIII-ICHAIN-MONOMER,2*ACETOLACTSYNIII-HCHAIN-MONOMER","ECK0080","ilvH"
"187","PC00061","4*PD00521","ECK0081","fruR"
"628","CPLX0-7977","2*EG11085-MONOMER","ECK0083","mraW"
"3481","CPLX0-8014","2*UDP-NACMUR-ALA-LIG-MONOMER","ECK0092","murC"
"3812","DALADALALIGB-CPLX","2*DALADALALIGB-MONOMER","ECK0093","ddlB"
"1128","CPLX0-7973","2*EG12313-MONOMER","ECK0102","yacF"
"2480","GMP-REDUCT-CPLX","4*GMP-REDUCT-MONOMER","ECK0104","guaC"
